npi,depression,tobacco,weight,bloodpressure,comparingmeds,reduceheart
1780687822,,100,,,,
1417952375,,100,,,,
1265400246,,100,,100,,
1689661001,,49,52,27,,
1023062874,,92,45,,,
1558393611,,100,99,99,,
1821077298,,92,,,,
1689642530,,98,41,40,,
1710968284,,95,,,,
1023018363,,92,92,88,,
1447266341,,96,50,,,95
1700879186,,100,,,,
1740282797,,100,,,,
1104912773,,98,,,,
1447239231,,,,36,,
1588642250,,99,,,,
1831198035,,95,,,,
1508825050,,,43,,,
1023060001,,,100,,,
1255332011,,100,,,,
1376617597,,27,10,,,
1306833322,,93,,,,
1831260090,,100,,,,
1639148281,,100,,,,
1881637114,,,100,,,
1902829765,,,,15,,
1942282322,,,,,100,
1376597617,,49,1,14,,
1730155052,,98,59,,,
1457461519,100,98,100,100,66,
1558343152,,94,90,,,
1982604831,,,100,,,
1184652190,,100,,,,
1578567913,,100,,,,
1730178286,,99,,,,
1780676528,,,100,,,
1073629994,,,,0,,
1174524383,,92,54,,,
1679643662,,100,71,,,
1760489728,,85,41,,,
1336186758,,100,100,100,,
1437199155,0,87,44,,,
1295781912,,100,,,,
1538119045,,100,,,,
1861460040,,100,49,,,
1073575072,,100,,,,
1366465122,,,78,,,
1265495980,,100,94,,,
1861581241,,100,,,,
1649347444,,,99,,,
1508829078,,100,96,100,,
1417953944,,,100,,,
1245212448,,100,100,,,
1144319682,,100,97,,,
1083628432,,,,100,,
1679538730,,97,,,,
1497762041,,100,,,,
1184678401,,93,55,,,
1992707665,,57,85,79,,
1598785693,,,85,,,
1265496582,0,98,57,,,90
1215976519,,97,,,,
1780608810,,,79,,,
1518960087,,95,52,,,
1548293053,,,100,,,
1780655258,,100,,,,
1285615823,,100,98,,,
1003869041,,,98,,,
1043227630,,99,,,,
1578513297,,100,,,,
1033115712,100,,,,,
1912910423,0,100,33,,,
1164407417,,100,,100,,
1619962883,,97,,100,100,
1063468577,96,100,,,,
1821097031,,,99,,,
1457361479,,,100,,,
1184668501,,,62,,,
1962453332,,,,100,,
1376502740,,93,100,,,
1023125283,,,,99,,
1477618288,,100,,,,
1861450694,,90,,,,
1235174186,,99,,,,
1548273196,,100,,,,
1912913971,,95,43,,,88
1063411841,,100,95,,,66
1205856432,,,58,,,
1821180738,,100,,,,
1417948175,,100,,,,
1679643993,,,100,,,
1104927797,,100,100,100,,
1164402939,,100,,,,
1265549455,,100,,,,
1346353141,,,,100,,
1538127576,,100,,,,
1477518777,95,99,100,,100,
1962558197,100,,100,,,
1568575231,,,51,,,
1013944859,,87,44,,,
1881666501,,92,38,,,
1134179450,,90,47,,,
1235235524,,100,68,,,
1730120007,,93,,,,
1427070986,,,,,100,
1962402859,,100,100,,,
1265419337,,,55,,,
1578557245,,97,71,,,
1467533950,75,,,,,
1992721658,,100,,,,
1700988714,,87,98,,,
1508028648,,,100,,,
1932106440,,98,,,,
1851377071,0,100,31,,,
1740254218,,100,,,,
1902870918,,96,,,,
1447281993,,,,99,,
1164427639,,100,,,,
1073603957,,100,,,,
1710976907,,100,,,,
1720068646,,100,,,,
1336119908,,,75,,,
1528063781,,100,,,,
1144226523,,97,,,,
1710045851,,,,23,,
1578557443,,100,,,,
1104951540,0,91,46,,,
